,theta0,theta1,j
187,119226.8773623413,151547.48626503168,2060244222.344283
188,119221.14321332242,151557.02200543473,2060229401.8944845
189,119215.4266559171,151566.52839032435,2060214672.5203257
190,119209.72763625419,151576.00551031777,2060200033.6621187
191,119204.04610062127,151585.45345574585,2060185484.7636197
192,119198.38199546431,151594.87231665422,2060171025.271998
193,119192.73526738738,151604.26218280432,2060156654.6378238
194,119187.10586315235,151613.62314367454,2060142372.3150427
195,119181.49372967856,151622.95528846118,2060128177.7609541
196,119175.89881404255,151632.25870607953,2060114070.4361942
197,119170.32106347768,151641.53348516495,2060100049.8047154
198,119164.76042537384,151650.77971407387,2060086115.3337595
199,119159.21684727714,151659.99748088475,2060072266.4938474
200,119153.69027688958,151669.18687339922,2060058502.7587504
201,119148.18066206865,151678.34797914297,2060044823.6054761
202,119142.68795082711,151687.48088536688,2060031228.5142436
203,119137.21209133253,151696.58567904786,2060017716.9684668
204,119131.75303190706,151705.66244688997,2060004288.4547372
205,119126.31072102702,151714.7112753253,2059990942.4627962
206,119120.88510732258,151723.73225051502,2059977678.4855242
207,119115.47613957738,151732.7254583503,2059964496.0189185
208,119110.08376672825,151741.69098445328,2059951394.5620723
209,119104.70793786476,151750.62891417806,2059938373.617156
210,119099.34860222897,151759.5393326116,2059925432.6894014
211,119094.00570921501,151768.42232457464,2059912571.2870805
212,119088.67920836872,151777.27797462273,2059899788.9214854
213,119083.36904938731,151786.10636704706,2059887085.1069124
214,119078.07518211902,151794.90758587545,2059874459.360644
215,119072.7975565627,151803.6817148732,2059861911.2029276
216,119067.53612286749,151812.4288375441,2059849440.156958
217,119062.29083133243,151821.14903713125,2059837045.7488632
218,119057.06163240611,151829.84239661795,2059824727.5076804
219,119051.8484766863,151838.5089987287,2059812484.965341
220,119046.65131491957,151847.14892593003,2059800317.656655
221,119041.4700980009,151855.7622604313,2059788225.1192896
222,119036.30477697334,151864.34908418576,2059776206.8937533
223,119031.15530302764,151872.90947889123,2059764262.5233784
224,119026.02162750185,151881.44352599114,2059752391.5543036
225,119020.90370188093,151889.95130667527,2059740593.535457
226,119015.80147779643,151898.43290188067,2059728868.0185375
227,119010.71490702605,151906.88839229252,2059717214.5580015
228,119005.64394149331,151915.31785834493,2059705632.711041
229,119000.58853326715,151923.72138022186,2059694122.037569
230,118995.5486345615,151932.09903785787,2059682682.1002045
231,118990.52419773504,151940.45091093905,2059671312.4642549
232,118985.51517529065,151948.77707890377,2059660012.6976955
233,118980.52151987515,151957.0776209436,2059648782.3711605
234,118975.54318427887,151965.35261600403,2059637621.0579197
235,118970.58012143524,151973.60214278536,2059626528.3338678
236,118965.63228442048,151981.8262797435,2059615503.7775035
237,118960.69962645315,151990.02510509072,2059604546.9699163
